,model
474,Boeing B-707-344C
475,Boeing B-707-345C
476,Boeing B-707-349C
477,Boeing B-707-366C
478,Boeing B-707-379C
479,Boeing B-707-3B5C
480,Boeing B-707-3D3C
481,Boeing B-707-3J9C
482,Boeing B-707-436
483,Boeing B-707-437
484,Boeing B-707-441
485,Boeing B-707-465
486,Boeing B-720-040B
487,Boeing B-720-047B
488,Boeing B-720-051B
489,Boeing B-720B-023B
490,Boeing B-727
491,Boeing B-727-113C
492,Boeing B-727-121C
493,Boeing B-727-134
494,Boeing B-727-193
495,Boeing B-727-200 / DC9-32
496,Boeing B-727-21
497,Boeing B-727-212A
498,Boeing B-727-214 / Cessna 172
499,Boeing B-727-22
500,Boeing B-727-22 / Cessna 310
501,Boeing B-727-223
502,Boeing B-727-224
503,Boeing B-727-225
504,Boeing B-727-225 Adv
505,Boeing B-727-227
506,Boeing B-727-228
507,Boeing B-727-22QC
508,Boeing B-727-23
509,Boeing B-727-230
510,Boeing B-727-231
511,Boeing B-727-232 Adv
512,Boeing B-727-235
513,Boeing B-727-247
514,Boeing B-727-251
515,Boeing B-727-251 / MD Douglas DC-9-14
516,Boeing B-727-256
517,Boeing B-727-264
518,Boeing B-727-27C
519,Boeing B-727-281 / Air Force F86F
520,Boeing B-727-282
521,Boeing B-727-2A7
522,Boeing B-727-2D3
523,Boeing B-727-2F2
524,Boeing B-727-2H9A
525,Boeing B-727-2L5 / MiG23UB
526,Boeing B-727-30
527,Boeing B-727-46
528,Boeing B-727-64
529,Boeing B-727-81
530,Boeing B-727-86
531,Boeing B-727-92C
532,Boeing B-727-95
533,Boeing B-737-200
534,Boeing B-737-204
535,Boeing B-737-204C
536,Boeing B-737-209
537,Boeing B-737-219
538,Boeing B-737-222
539,Boeing B-737-230
540,Boeing B-737-230A
541,Boeing B-737-236
542,Boeing B-737-241
543,Boeing B-737-244
544,Boeing B-737-247 / Boeing B-757-21B
545,Boeing B-737-266
546,Boeing B-737-270C
547,Boeing B-737-275
548,Boeing B-737-281
549,Boeing B-737-282
550,Boeing B-737-291
551,Boeing B-737-297
552,Boeing B-737-2A1
553,Boeing B-737-2A8
554,Boeing B-737-2A8 Advanced
555,Boeing B-737-2C3
556,Boeing B-737-2F9
557,Boeing B-737-2H4
558,Boeing B-737-2H6
559,Boeing B-737-2H7C
560,Boeing B-737-2K9
561,Boeing B-737-2L9
562,Boeing B-737-2P5
563,Boeing B-737-2P6
564,Boeing B-737-2T4
565,Boeing B-737-2V2
566,Boeing B-737-300
567,Boeing B-737-300 / Swearingen SA-227AC
568,Boeing B-737-31B
569,Boeing B-737-3B7
570,Boeing B-737-3Q8
571,Boeing B-737-3T0
572,Boeing B-737-3T5
573,Boeing B-737-3Y0
574,Boeing B-737-401
575,Boeing B-737-497
576,Boeing B-737-4D7
577,Boeing B-737-4Q8
578,Boeing B-737-4Y0
579,Boeing B-737-505
580,Boeing B-737-566
581,Boeing B-737-5L9
582,Boeing B-737-7H4
583,Boeing B-737-8AL
584,Boeing B-737-8EH /EMB-135JB
585,Boeing B-737-T43
586,Boeing B-747
587,Boeing B-747-121
588,Boeing B-747-121 / Boeing B-747-206B
589,Boeing B-747-121A
590,Boeing B-747-122
591,Boeing B-747-130
592,Boeing B-747-131
593,Boeing B-747-131F
594,Boeing B-747-168B / Ilyushin IL-76TD
595,Boeing B-747-200
596,Boeing B-747-209B
597,Boeing B-747-209BSF
598,Boeing B-747-230B
599,Boeing B-747-237B
600,Boeing B-747-244B
601,Boeing B-747-258F
602,Boeing B-747-283B
603,Boeing B-747-2B5B
604,Boeing B-747-2R7F
605,Boeing B-747-300
606,Boeing B-747-412
607,Boeing B-747-466
608,Boeing B-747-SP-09
609,Boeing B-747-SR46
610,Boeing B-757-200
611,Boeing B-757-222
612,Boeing B-757-223
613,Boeing B-757-225
614,Boeing B-767-200ER
615,Boeing B-767-222
616,Boeing B-767-233ER
617,Boeing B-767-366ER
618,Boeing B-767-3Z9ER
619,Boeing B17G
620,Boeing B307-1 Stratoliner
621,Boeing B377-10-28 Stratocruiser
622,Boeing C-135A
623,Boeing C-135B
624,Boeing C-97
625,Boeing C-97A Stratofreighter
626,Boeing C-97C
627,Boeing CH47A (helicopter)
628,Boeing EC-135N
629,Boeing KC-135
630,Boeing KC-135A
631,Boeing KC-135A / Boeing KC-135A
632,Boeing KC-135C
633,Boeing KC-135E
634,Boeing KC-97G Stratofreighter
635,Boeing RB-52B
636,Boeing RC-135E
637,Boeing RC-135S
638,Boeing RC-135T
639,Boeing TB-29A Super Fortress
640,Boeing Vertol CH-47 (helicopter)
641,Boeing Vertol CH-47 (helilcopter)
642,Boeing Vertol CH-47A (helicopter)
643,Boeing Vertol CH-47C
644,Boeing Vertol CH-47C (helicopter)
645,Boeing Vertol CH47A (helicopter)
646,Boeing Vertol CH47B (helicopter)
647,Boeing Vertol CH47C (helicopter)
648,Boeing Vertol Chinook HC-2 (helicopter)
649,Boeing Vetrol 107 II helicopter
650,Boeing XB-29
651,Boeing-Vertol Chinook
652,Bombardier DHC-8-402 Q400
653,Boulton and Paul P-71
654,Brantly 305
655,Breguet 1150
656,Breguet 14
657,Breguet 280T
658,Bristol 170 Freighter
659,Bristol 170 Freighter 21
660,Bristol 170 Freighter 21E
661,Bristol 170 Freighter 31
662,Bristol 170 Freighter 31E
663,Bristol 170 Freighter 31M
664,Bristol 170 Freighter I
665,Bristol 170 Freighter XI
666,Bristol 175 Britannia 312
667,Bristol 28 Tourer
668,Bristol Britannia 102
669,Bristol Britannia 175
670,Bristol Britannia 312
671,Bristol Britannia 314
672,British Aerospace  BAe Jetstream 32EP
673,British Aerospace 146-300
674,British Aerospace 3101 Jetstream 31
675,British Aerospace 748 2A
676,British Aerospace APT
677,British Aerospace ATP
678,British Aerospace BAE-146-200A
679,British Aerospace BAe-125-700A
680,British Aerospace BAe-125-800A
681,British Aerospace BAe-146-100
682,British Aerospace BAe-146-200A
683,British Aerospace BAe-146-300
684,British Aerospace Jetstream 3201
685,British Aerospace Jetstream 4101
686,British Aerospace Jetstream BA-3100
687,British Aerospace Nimrod MR-2
688,British Aerospace Nimrod MR-2P
689,Britten Norman BN Islander
690,Britten Norman BN-2A Islander
691,Britten Norman BN-2A Trislander
692,Britten Norman BN-2A Trislander II
693,Britten Norman BN-2A Trislander Mk.III-2
694,Britten Norman BN-2A Trislander Mk3
695,Britten Norman BN-2A Trislander7
696,Britten Norman BN-2A-20 Trislander
697,Britten Norman BN-2A-21 Trislander
698,Britten Norman BN-2A-26
699,Britten Norman BN-2A-26 Trislander
700,Britten Norman BN-2B Trislander
701,Britten Norman BN-7A lslander
702,Britten-Norman  BN-2A-20 Trislander
703,Britten-Norman 2B-21 Islander
704,Britten-Norman BN-2 Islander
705,Britten-Norman BN-2A Islander
706,Britten-Norman BN-2A Trislander
707,Britten-Norman BN-2A-2 Islander
708,Britten-Norman BN-2A-20 Islander
709,Britten-Norman BN-2A-21
710,Britten-Norman BN-2A-21 Islander
711,Britten-Norman BN-2A-21 Trislander
712,Britten-Norman BN-2A-26 Islander
713,Britten-Norman BN-2A-26 Trislander
714,Britten-Norman BN-2A-27 Islander
715,Britten-Norman BN-2A-3 Islander
716,Britten-Norman BN-2A-6 Islander
717,Britten-Norman BN-2A-7 Islander
718,Britten-Norman BN-2A-8 Islander
719,Britten-Norman BN-2A-8 Trislander
720,Britten-Norman BN-2A-9 Islander
721,Britten-Norman BN-2B-26 Islander
722,Britten-Norman BN-2B-27 Islander
723,Britten-Norman BN2A-III-2 Trislander
724,Britten-Norman Trislander
725,Brittonnorman BN-2A6
726,Brittonorman BN-2A
727,Burgess RV-6 experimental
728,C-47 Dakota DT-941
729,CAMS 53
730,CAMS 56
731,CASA  CN-235-200
732,CASA 212
733,CASA 212 Aviocar
734,CASA 212 Aviocar 100
735,CASA 212 Aviocar 200
736,CASA 212 Aviocar 300
737,CASA 212-100
738,CASA 212-200 Aviocar
739,CASA 212-A3 Aviocar 100
740,CASA 212-CC
741,CASA 212-DE Aviocar 200
742,CASA 212-MP Aviocar 200
743,CASA 212-S1 Aviocar 100
744,CASA 235-10
745,CASA C-295M
746,CASA CN-235M-10
747,CASA NC-212
748,CASA NC-212-200
749,CF-100 Mark V
750,CH-47 Chinook
751,CH-47D Chinook
752,CH-53D
753,CH53E Sea Stallion
754,CMASA Wal
755,Cams 33
756,Cams 53
757,Canadair C-4
758,Canadair C-4 Argonaut
759,Canadair C-4-1Argonaut / Harvard Mark II
760,Canadair CL-44
761,Canadair CL-44D4-1
762,Canadair CL-44D4-2
763,Canadair CL-44D4-6
764,Canadair CL-44J
765,Canadair CL-600-2B16 Challenger 604
766,Canadair CL-601-2A12 Challenger
767,Canadair CL-604
768,Canadair CP-107 MK-2
769,Canadair CRJ-100ER
770,Canadair CRJ-200ER
771,Canadair CRJ200LR RegionalJet
772,Canadair DC-4M-2 Northstar
773,Caravelle VIR
